german,italian
konsumieren,consumare
etwas,qualcosa
bleiben,"rimane, restare"
reichlich,abbondante
werden,diventare
wachsen,crescere | cresco | essere / avere cresciuto
reagieren,reagire a
Tasse,tazza
Topf,pentola
Pfanne,padella
hier,qui
dort,là
schlecht,male
viel,molto
einfach,facile
gut,bene
ich verstehe,capisco
ich verstehe nicht,non capisco
Hilfe,aiuto
Danke,grazie
später,più tardi
überall,ovunque
nirgendwo,da nessuna parte
alle,tutti
alles,tutto
wichtig,importante
ich weiß,lo so
in Ordnung,va bene
unglaublich,incredibile
mehr,di più
weniger,di meno
nachher,dopo
wir sehen uns,ci vediamo
es reicht,basta
perfekt,perfetto
fast,quasi
immer,sempre
immer noch,ancora
nie,mai
sehr gut,molto bene
fertig,finito
sofort,subito
jetzt,adesso
oft,spesso
heute,oggi
morgen,domani
genug,abbastanza
wie bitte?,come prego?
wo?,dove?
wer?,chi?
Was?,cosa?
wann?,quando?
wie,come
wie viel?,quanto?
vielleicht,forse
voll,pieno
leer,vuoto
ohne,senza
mit,con
groß,grande
klein,piccolo
geschlossen,chiuso
offen,aperto
keiner,nessuno
nichts,niente
wieso?,perché?
weil,perché!
genau,esatto
Fehler,errore
schon wieder,di nuovo
noch einmal,ancora una volta
jeder,ognuno
jemand,qualcuno
gleich,fra poco
Achtung,attenzione
Entschuldigung,scusa
natürlich,naturalmente
alles klar,tutto a posto
Guten Tag,buongiorno
auf Wiedersehen,arrivederci
zurück,indietro
weit,lontano
gestern,ieri
zu spät,troppo tardi
ich,io
du,tu
Bis nachher,A dopo
für,per
wir,noi
und,e
oder,o
neu,nuovo
alt,vecchio
einfach,facile
schwer,difficile
kalt,freddo
besser,meglio
Tag,giorno
Polizei,polizia
egal,non importa
endlich,finalmente
vor,prima di
wenig,poco
von,di
richtig,esatto
falsch,sbagliato
wahr,vero
auch,anche
aber,però
frei,libero
nach,dopo
warm,caldo
Beruf,mestiere
Arbeiter,lavoratore
Arbeitsloser,disoccupato
Architekt,architetto
Arzt,medico
Bäcker,panettiere
Bademeister,bagnino
Bankkaufmann,impiegato di banca
Designer,stilista
Elektriker,elettricista
Erzieher,educatore
Fahrer,autista
Friseur,parrucchiere
Gärtner,giardiniere
Handwerker,artigiano
Hausmeiser,custode/ bidello
Ingenieur,ingegnere
Kaufmann,commerciante
Koch,cuoco
Kellner,cameriere
KFZ-Mechaniker,meccanico
Klempner,idraulico
Krankenpfleger,infermiere
Landwirt,agricoltore
Lehrer,insegnante
Maurer,muratore
Makler,agente immobiliare
Maler,imbianchino
Mitarbeiter,collaboratore
Modell,modello
Obsthändler,fruttivendolo
Pilot,pilota
Polizist,poliziotto
Putzfrau,donna delle pulizie
Programmierer,programmatore
Sachbearbeiter,addetto
Schauspieler,attore
Schlachter,macellaio
Schüler,studente
Sekretär,segretario
Soldat,soldato
Steuerberater,commercialista
Tankwart,benzinaio
Techniker,tecnico
Tellerwäscher,lavapiatti
Tierarzt,veterinario
Tischler,falegname
Türsteher,buttafuori
Rechtsanwalt,avvocato
Verkäufer,commesso
Wachmann,guardia giurata
Zahnarzt,dentista
Züchter,allevatore
Zusteller,fattorino
1,uno
2,due
3,tre
4,quattro
5,cinque
6,sei
7,sette
8,otto
9,nove
10,dieci
11,undici
12,dodici
13,tredici
14,quattordici
15,quindici
16,sedici
17,diciassette
18,diciotto
19,diciannove
20,venti
21,ventuno
22,ventidue
23,ventitré
24,ventiquattro
25,venticinque
die Erdbeere,la fragola
die Birne,la pera
die Zitrone,il limone
die Melone,il melone
der Käse,il formaggio
die Banane,la banana
der Wein,il vino
die Salami,il salame
das Eis,il gelato
der Pilz,il fungo
die Gurke,il cetriolo
die Schokolade,la cioccolata
der Fisch,il pesce
der Apfel,la mela
das Ei,l'uovo
die Torte,la torta
die Weintraube,l'uva
die Orange,l'arancia
die Peperoni,il peperone
die Zwiebel,la cipolla
Afrika,Africa
Amerika,America
Analyse,analisi
Appartement,appartamento
Aquarium,acquario
Banane,banana
brav,bravo
Bus,bus
Computer,computer
direkt,diretto
Direktor,direttore
Doktor,dottore
Elefant,elefante
Hotel,hotel
Internet,internet
Italien,Italia
Kaffee,caffé
Kakao,cacao
Katastrophe,catastrofe
Karneval,carnevale
Kiwi,kiwi
Moment,momento
Musik,musica
Muskel,muscolo
normal,normale
ok,ok
perfekt,perfetto
Pizza,pizza
Präsident,presidente
Produkt,prodotto
Radio,radio
Restaurant,ristorante
Schokolade,cioccolato
Staat,stato
das Haar,il capello
die Haare,i capelli
die Stirn,la fronte
der Kopf,la testa
das Auge,l'occhio
die Augen,gli occhi
das Ohr,l'orecchio
die Ohren,le orecchie
der Mund,la bocca
die Nase,il naso
die Augenbraue,sopracciglio
die Augenbrauen,le sopracciglia
die Wange,la guancia
der Hals,la gola
der Arm,il braccio
die Arme,le braccia
das Bein,la gamba
die Beine,le gambe
der Bauch,la pancia
die Hand,la mano
die Hände,le mani
der Fuß,il piede
die Füße,i piedi
der Bart,la barba
das Kinn,il mento
das Haus,la casa
das Fenster,la finestra
das Dach,il tetto
die Wand,il muro
der Garten,il giardino
der Keller,la cantina
der Kamin,il camino
die Wohnung,l´appartamento
das Zimmer,la stanza
die Küche,la cucina
die Garage,il garage
das Badezimmer,stanza da bagno
das Schlafzimmer,camera da letto
die Miete,l´affitto
der Vermieter,padrone di casa
der Flur,il corridoio
wohnen,abitare
der Mieter,l´inquilino
die Kaution,la cauzione
das Wohnzimmer,il salotto
die Heizung,il termosifone
singen,cantare
laufen,correre
gehen,camminare
lernen,imparare
conversare,parlare
reiten,cavalcare
tanzen,ballare
arbeiten,lavorare
fragen,chiedere
antworten,rispondere
telefonieren,telefonare
sprechen,parlare
spielen,giocare
lügen,dire bugie
glauben,credere
laufen,correre
fahren,guidare
sitzen,sedere | siedo | essere seduto
stehen,star in piedi
liegen,essere sdraiato
helfen,aiutare
schwimmen,nuotare
schreien,urlare
fliegen,volare
putzen,pulire
waschen,lavare
lesen,leggere | leggo | avere letto
schreiben,scrivere
malen,dipingere
schlagen,picchiare
hinlegen,sdraiarsi
oder,oppure
aber (eher),bensi
"welche, welcher, dass",che
während,mentre
warten,"aspettare, attendere"
bis,finché non
Reis,riso
Eier,uova
Blaubeere,mirtilli
Wasser,l’acqua
Tee,tè
Gemüse,verdura
Saft,succo
Milch,latte
Kaffee,caffè
Salz,sale
bekommen,ottenere
geben,dare
leben,vivere
machen,fare
gehen,camminare
benutzen,usare
essen,mangiare
trinken,bere
denken,pensare
kommen,venire
haben,avere
sehen,vedere | vedo | avere visto
wollen,volere
wissen,sapere
kennen,conoscere
finden,trovare
suchen,cercare
erzählen,racontare
versuchen,provare
anrufen,chiamare
was,che cosa
wer,chi
wie,come
wann,quando
wo,dove
woher,da dove
warum,perché
weil,perché
auch,anche
außerdem,anche
gesund,sano
krank,ammalato
müde,stanco
fröhlich,felici
hungrig,affamato
durstig,assetato
traurig,tristi
aufgeregt,eccitato
neugierig,interessato
schlau,intelligente
Paket,pacco
Versand,spedizione
Handel,commercio
Firma,ditta
Auto,automobile
Bus,Aautobus
Flugzeug,aereo
Zug,treno
Schiff,nave
Haus,casa
arbeiten,lavorare
schlafen,dormire
entwickeln,sviluppare
unterrichten,insegnare
lesen,leggere
fahren,"guidare, ciclo"
tragen,indossare
laufen,correre
einkaufen,comprare
kochen,cucinare
Pflanze,pianta
Wohnung,appartemento
Zimmer,stanza
Fahrrad,bicicletta
Computer,computer
Bildschirm,lo schermo
Handy,cellulare
Chef,capo
Kollege,collega
Tisch,tavola
Montag,Lunedi
Dienstag,martedi
Mittwoch,mercoledi
Donnerstag,giovedi
Freitag,Venerdi
Samstag,Sabato
Sonntag,Domenica
morgen,domani
gestern,ieri
heute,oggi
Kleidung,abbigliamento
Shirt,maglietta
Schuhe,scarpe
Shorts,pantaloncini
Jacke,giacca
sweater,felpa
Hosen,pantaloni
Socken,calzini
Schal,sciarpa
Handschuhe,guanti
besuchen,visitare
wandern,camminare
spazieren,passeggiare
schwimmen,nuotare
reden,parlare
schreiben,scrivere
raten,indovinare
glauben,credere
erklären,spiegare
widerholen,ripetare
kalt,freddo
warm,caldo
dunkel,buio
hell,luminoso
bunt,colorato
schnell,veloce
langsam,lentamente
immer,sempre
nie,mai
manchmal,a volte
Mutter,madre
Vater,padre
Schwester,sorella
Bruder,fratello
Tante,zia
Onkel,zio
Freund,amico
Tochter,figlia
Eltern,genitori
Sohn,figlio
Oma,nonna
Opa,nonno
Januar,Gennaio
Februar,Febbraio
März,Marzo
April,Aprile
Mai,Maggio
Juni,Giugno
Juli,Luglio
August,Agosto
September,Settembre
Oktober,Ottobre
Novemer,Novembre
Dezember,Dicembre
30,trenta
40,quaranta
50,cinquanta
60,sessanta
70,settanta
80,ottanta
90,novanta
100,cento
500,cinquecento
1000,mille
die Hälfte,la metà
weniger,meno
mehr,più
zu viel,troppo
zu wenig,troppo poco
ausreichend,abbastanza
alles,tutto
Frühling,la primavera
Sommer,l’estate
Herbst,l’autunno
Winter,l’inverno
Jahr,anno
Monat,mese
Woche,settimana
Tag,giorno
fragen,"chiedere, domandare"
antworten,rispondere
lügen,mentire
reisen,viaggiare
träumen,sognare
feiern,celebrare
tanzen,ballare | ballo | avere ballato
weinen,piangere
singen,cantare
spielen,giocare
Alles klar,tutto chia
draußen,fuori
davor,davanti
dort,ci
wenigstens,almeno
Bank,panchina
sitzen,sedere
regnen,piovere
dann,poi
vielleicht,forse
niemand,non…nessuno
nichts,non…niente
auch nicht,non...neanche
nicht einmal,non...nemmeno
niemals,non…mai
nie mehr,non...più
noch nicht,non...anchora
nirgends,non...da nessuna parte
"doch nicht, gar nicht",non mica
wirklich (nicht),non...proprio
Park,parco
Wald,bosco
See,lago
Baum,albero
Himmel,cielo
Meer,mare
Sonne,sole
Mond,luna
Blume,fiore
leicht,leggero
schwer,"pesante, difficile"
kompliziert,complicato
facile,einfach
ob,se
weder noch,né né
aber,bensi
sowohl als auch,"sia...che, sia...sia"
Unterschied,differenza
seit,da
von,di
in,in
mit,con
über,su
"für, durch",per
zwischen/entlang,tra/fra
Blut,sangue
Ehemann,marito
Rühreier,uova strapazzate
"wenn, ob",se
"nätürlich, sich",certo
in Wirklichkeit,in realtà
beginnen ,cominciare
weiterführen,continuare
für gewöhnlich,di solito
Tätigkeit,attività
nun,adesso
nun,ora
Gast,ospite
hingegen,invece
häufig,spesso
zum Beispiel,par esempio
"lieb, teuer",caro
"nett, freundlich",gentile
warten,aspettare
"andere(r, -s)",altro
Experte,esperto
"so, derart",cosi
"Hotel, Gasthof",albergo
Ausländer,stranieri
seltsam,strano
Adresse,indirizzo
baden,fare il bagno
apropos,a proposito
offensichtlich,ovviamente
Erfolg,successo
bevorzugen,preferire
plötzlich,improvvisamente
Zimmer,camera
verwirrt,perplessi
Treppe,scala
in Ordnung,a ordine
Stockwerk,piano
in Ordnung sein,essere a posto
Scherz,scherzo
noch,ancora
schreien,gridare
ohne,senza
tot,morto
schon,già
kontrollieren,controllare
entlang,lungo
bevorzugen,preferire
außer,tranne
trotz,nonostante
gegen,contro
"nach, entgegen",verso
einige,alcuni
Bis wann?,Fino a quando
bedeuten,significare
Raub,rapina
genau,preciso
hinuntergehen,scendere
Eingang,entrata
geschlossen,chiuso
Lift,ascensore
bemerken,notare
Unbekannter,sconosciuto
sagen,dire | dico | avere detto
Uhrzeit,ora
Uhr,orologio
Was sagst du dazu,che ne dici
"laut, gemäß",secondo
sollen,dovere
ich soll,devo
Lass uns gehen,andiamo
"können, dürfen",potere
"ich kann, darf",posso
Mittagszeit,mezzogiorno
Mitternacht,mezzanotte
mehr oder weniger,piu o meno
sofort,subito
aber,però
dieser,questo
nehmen,prendere | prendo | avere / essere preso
getrunken,bevuto
gewesen,stato
gemacht,fatto
gelesen,letto
genommen,preso
geschrieben,scritto
gesehen,vista
kurz,breve
Praktikum,tirocinio
wunderschön,belissimo
verführerisch,seducente
umziehen,translocare
brauchen,avere bisogno di
entschuldigung,spiacente
sembrare,scheinen
Parameteroptimierung,Ottimizzazione dei parametri
erfordern,richiedere
Wort,parola
zurückkommen,tornare | torno | essere tornato
Mörder,assassino
versuchen etwas zu tun,cercare di fare qc.
vergewaltigen,violentare
aber,peró
wirklich,davvero
lange Haare,I capelli lunghi
verheiratet,sposato
wirklich,veramente
ein bisschen,un pochino
Gramm,grammo
Messung,misure
folgen,seguire
nicht wirklich,non proprio
meinen,intendere | intendo |avere inteso
Fremder,straniero
schließen,chiudere | chiudo | avere chiuso
sein,essere | sono | essere stato
sterben,morire | muoio | essere morto
wechseln / ändern,cambiare | cambio | avere / essere cambiato
jeder,ogni
vielleicht,tanto
jung,giovane
kurz und gut,insomma
Erfahrung,esperienza
Freundschaft,amicizia
"arm, bedauernswert",povero
Was hat es damit zu tun,cosa c’entra
erinnern,ricordare | ricordo | avere ricordato
"also, daher",quindi
einkaufen (Lebensmittel),fare la speza
Kasse,cassa
Bahnhof,stazione
Koffer,valigie
Strand,spiaggia
Verdacht,sospetto
menschlich,umano
"schmerzen, wehtun",dolere
Durst haben,avere sete
kein,nessuno
an der Wade,a mezza gamba
Hintern,sedere
Schulter,spalla
Finger,dito
Mehrzahl,plurale
Gitarre,chitarra
Haut,pelle
Haut-,cutaneo
Brust,petto
